Length,Proportion
0,0
2.564102564,0.025641026
14.1025641,2.025641026
26.92307692,3.230769231
37.17948718,4.333333333
43.58974359,5.384615385
47.43589744,6.256410256
52.56410256,7.230769231
56.41025641,8.102564103
61.53846154,9.307692308
66.66666667,10.23076923
71.79487179,11.38461538
80.76923077,12.43589744
87.17948718,13.51282051
97.43589744,14.05128205
107.6923077,14.48717949
114.1025641,14.69230769
119.2307692,14.33333333
125.6410256,13.82051282
133.3333333,12.94871795
144.8717949,11.79487179
150,11.05128205
156.4102564,10.15384615
170.5128205,8.641025641
178.2051282,7.769230769
189.7435897,6.230769231
203.8461538,5.051282051
216.6666667,4
241.025641,2.538461538
266.6666667,1.897435897
292.3076923,1.846153846
315.3846154,1.307692308
348.7179487,1
388.4615385,0.743589744
433.3333333,0.641025641
494.8717949,0.538461538
546.1538462,0.41025641
600,0.41025641
669.2307692,0.282051282
744.8717949,0.282051282
821.7948718,0.230769231
874.3589744,0.230769231
925.6410256,0.230769231
997.4358974,0.205128205
