chromosome	start	end
NC_000001.11	32326525	84595373
NC_000002.12	99247705	159910766
NC_000003.12	196712	42417547
NC_000004.12	36365987	71546579
NC_000005.10	85504747	134131498
NC_000006.12	44185859	89717751
NC_000007.14	192520	31039371
NC_000008.11	166035	24394758
NC_000009.12	112043491	128608803
NC_000010.11	69194964	92624818
NC_000011.10	17722193	58190479
NC_000012.12	66716	21494523
NC_000013.11	43306837	57526665
NC_000014.9	58369156	73627028
NC_000015.10	51813385	67190680
NC_000016.10	10837586	27330117
NC_000017.11	137705	12789064
NC_000018.10	47170	12390115
NC_000019.10	9519908	18885441
NC_000020.11	41113802	50682138
NC_000021.9	40043919	44103560
NC_000022.11	15528141	23316888
NC_000023.11	57531967	103281251
NC_000024.10	9467798	13997825
